epoch,loss,rmsd,kabsch,centroid
1,50.90467435605831,49.82856321901411,0.03162894502998769,21.20593259631598
2,47.91281971039106,46.907612525893946,0.016080311215780047,19.943340957987544
3,46.60042128395455,45.613998324933966,0.010519058936942017,19.62326853619096
4,47.99006388017853,47.037519094182876,0.006385602341593016,18.987038815404784
5,45.58041865601107,44.625222961239814,0.00424250803252157,19.061487923036314
6,44.654964748012965,43.70730878418191,0.0018799512974730379,18.934320084619163
7,43.33687061149508,42.40318136062736,0.0013090604142570747,18.660694412797266
8,44.80498990224371,43.87251461916571,0.0024677303867765865,18.624828134360232
9,43.171420647842616,42.267825686637906,0.000985609452881562,18.06204349405591
10,43.74856261417163,42.83829535193196,0.0015269267836965888,18.190075215381196
11,42.53723428250609,41.6327826847631,0.001792842339686955,18.071104435462043
12,44.977421094211856,44.014403858114825,0.002195482670758659,19.238390351167702
13,43.93329833167511,43.00906379235784,0.002056678009151872,18.46412361260792
14,41.50465454072901,40.61171054665117,0.0012966928127104676,17.845912751942357
15,40.64449632890612,39.775686302948266,0.00178857121420727,17.35831550561984
16,41.084668159443204,40.20859205616576,0.0014142217849893348,17.507379600317687
17,40.477166029408366,39.604429132388894,0.0041132070249891295,17.41360658750904
18,40.062460628439865,39.18995428835202,0.003321004758951804,17.416915582356577
19,40.27498018906164,39.42908275471103,0.0017094905985648337,16.9008529346847
20,40.201139006980455,39.34736906359418,0.0017724293052706363,17.05767440042899
21,39.988246351069094,39.12520583180433,0.0011304691130625114,17.24950560379045
22,39.32074926259029,38.46370678566228,0.0011449706113116796,17.12939922640983
23,38.79680779658059,37.944804057695016,0.0009105350684632035,17.030969402245578
24,38.889768828925774,38.058212476907315,0.0010631802581748753,16.620494582051897
25,39.00115713497444,38.160448621791204,0.0011521878520890367,16.802648382104195
26,38.547847902693576,37.71006900947993,0.000980877051056941,16.745769285960943
27,39.35545761527329,38.50662087027726,0.0008518658818071456,16.96821619421582
28,38.71739031979822,37.87839316084484,0.0007569649560967744,16.77237344141734
29,38.82991978969271,37.98852694578236,0.000620618667790843,16.821650436233647
30,40.36157420351021,39.501399920492055,0.00690901359737996,17.134395427383495
31,37.63739382710341,36.79564954258441,0.000752239098627335,16.827363147636447
32,38.30422130448406,37.46751418506143,0.0013614106368378032,16.720528859125032
33,38.67008654987522,37.82854399092856,0.0007299816657135027,16.823552119446536
34,38.831308330415574,37.98003049784558,0.0007167178502547909,17.018389563290842
35,38.62354269782584,37.786410041774424,0.0005745311497682208,16.736907362917098
36,37.98452004910599,37.15259377747675,0.0005415609401923498,16.633109898687387
37,37.55659086977542,36.74767097817754,0.000490092625262651,16.173497063040255
38,38.176507071058964,37.34599705444815,0.0004298030538673123,16.605902162294758
39,37.75060562743354,36.92501023024836,0.0004793143319612133,16.50711545710607
40,37.00457865636123,36.1791848485836,0.000358822368341313,16.504287966169844
41,37.54172306539461,36.719265106547944,0.0003704533921259171,16.445454847785573
42,37.58618572365253,36.767733271672306,0.0003582808541908722,16.36546689963999
43,37.40976696261863,36.58941827023673,0.0004211194109895365,16.402762364439255
44,37.31276604393115,36.49762299305364,0.00040414414860306605,16.298819828315693
45,36.407395533700516,35.58924612714843,0.0028002920701420022,16.3349856945074
46,36.83364720555342,36.01669115535284,0.00038956003101418835,16.335225150783266
47,36.31567971797625,35.49806722227394,0.00037562893788569904,16.348493618172988
48,36.66350312952018,35.84607347703867,0.0004352543885453993,16.34424037905125
49,37.09474600950738,36.27935029521764,0.0005198014664412377,16.30271643470493
50,36.86962989237724,36.05286158516381,0.0004832429914003741,16.33053426331789
